# k               u                 rapidity          phi
+5.527302e+27     +9.351835e-01     +0.000000e+00     +1.634453e-56
+6.553403e+27     +9.373390e-01     +0.000000e+00     +1.162078e-56
+7.748360e+27     +9.394592e-01     +0.000000e+00     +8.306778e-57
+9.135644e+27     +9.415441e-01     +0.000000e+00     +5.969519e-57
+1.074119e+28     +9.435935e-01     +0.000000e+00     +4.312397e-57
+1.259350e+28     +9.456073e-01     +0.000000e+00     +3.131270e-57
+1.472378e+28     +9.475856e-01     +0.000000e+00     +2.284978e-57
+1.716597e+28     +9.495282e-01     +0.000000e+00     +1.675415e-57
+1.995678e+28     +9.514350e-01     +0.000000e+00     +1.234044e-57
+2.313576e+28     +9.533060e-01     +0.000000e+00     +9.127476e-58
+2.674519e+28     +9.551412e-01     +0.000000e+00     +6.776219e-58
+3.083002e+28     +9.569403e-01     +0.000000e+00     +5.046722e-58
+3.543773e+28     +9.587035e-01     +0.000000e+00     +3.767739e-58
+4.061809e+28     +9.604305e-01     +0.000000e+00     +2.816923e-58
+4.642293e+28     +9.621214e-01     +0.000000e+00     +2.106462e-58
+5.290573e+28     +9.637761e-01     +0.000000e+00     +1.572706e-58
+6.012125e+28     +9.653944e-01     +0.000000e+00     +1.169713e-58
+6.812496e+28     +9.669765e-01     +0.000000e+00     +8.637900e-59
+7.697248e+28     +9.685221e-01     +0.000000e+00     +6.303999e-59
+8.671887e+28     +9.700313e-01     +0.000000e+00     +4.512984e-59
+9.741789e+28     +9.715039e-01     +0.000000e+00     +3.144196e-59
+1.091211e+29     +9.729400e-01     +0.000000e+00     +1.852344e-59
+1.218772e+29     +9.743394e-01     +0.000000e+00     +0.000000e+00
+1.357304e+29     +9.757021e-01     +0.000000e+00     +0.000000e+00
+1.507203e+29     +9.770281e-01     +0.000000e+00     +0.000000e+00
+1.668800e+29     +9.783174e-01     +0.000000e+00     +0.000000e+00
+1.842353e+29     +9.795698e-01     +0.000000e+00     +0.000000e+00
+2.028039e+29     +9.807853e-01     +0.000000e+00     +0.000000e+00
+2.225937e+29     +9.819639e-01     +0.000000e+00     +0.000000e+00
+2.436021e+29     +9.831055e-01     +0.000000e+00     +0.000000e+00
+2.658148e+29     +9.842101e-01     +0.000000e+00     +0.000000e+00
+2.892051e+29     +9.852776e-01     +0.000000e+00     +0.000000e+00
+3.137330e+29     +9.863081e-01     +0.000000e+00     +0.000000e+00
+3.393441e+29     +9.873014e-01     +0.000000e+00     +0.000000e+00
+3.659696e+29     +9.882576e-01     +0.000000e+00     +0.000000e+00
+3.935259e+29     +9.891765e-01     +0.000000e+00     +0.000000e+00
+4.219138e+29     +9.900582e-01     +0.000000e+00     +0.000000e+00
+4.510196e+29     +9.909026e-01     +0.000000e+00     +0.000000e+00
+4.807143e+29     +9.917098e-01     +0.000000e+00     +0.000000e+00
+5.108550e+29     +9.924795e-01     +0.000000e+00     +0.000000e+00
+5.412853e+29     +9.932119e-01     +0.000000e+00     +0.000000e+00
+5.718365e+29     +9.939070e-01     +0.000000e+00     +0.000000e+00
+6.023289e+29     +9.945646e-01     +0.000000e+00     +0.000000e+00
+6.325732e+29     +9.951847e-01     +0.000000e+00     +0.000000e+00
+6.623726e+29     +9.957674e-01     +0.000000e+00     +0.000000e+00
+6.915247e+29     +9.963126e-01     +0.000000e+00     +0.000000e+00
+7.198236e+29     +9.968203e-01     +0.000000e+00     +0.000000e+00
+7.470623e+29     +9.972905e-01     +0.000000e+00     +0.000000e+00
+7.730353e+29     +9.977231e-01     +0.000000e+00     +0.000000e+00
+7.975411e+29     +9.981181e-01     +0.000000e+00     +0.000000e+00
+8.203847e+29     +9.984756e-01     +0.000000e+00     +0.000000e+00
+8.413801e+29     +9.987955e-01     +0.000000e+00     +0.000000e+00
+8.603532e+29     +9.990777e-01     +0.000000e+00     +0.000000e+00
+8.771437e+29     +9.993224e-01     +0.000000e+00     +0.000000e+00
+8.916079e+29     +9.995294e-01     +0.000000e+00     +0.000000e+00
+9.036202e+29     +9.996988e-01     +0.000000e+00     +0.000000e+00
+9.130754e+29     +9.998306e-01     +0.000000e+00     +0.000000e+00
+9.198898e+29     +9.999247e-01     +0.000000e+00     +0.000000e+00
+9.240030e+29     +9.999812e-01     +0.000000e+00     +0.000000e+00
+9.253782e+29     +1.000000e+00     +0.000000e+00     +0.000000e+00

+4.539993e-05     +6.123032e-17     +5.000000e+00     +1.130950e+01
+7.371789e-05     +6.135885e-03     +5.000000e+00     +1.099920e+01
+1.196968e-04     +1.227154e-02     +5.000000e+00     +1.042220e+01
+1.943464e-04     +1.840673e-02     +5.000000e+00     +9.933396e+00
+3.155344e-04     +2.454123e-02     +5.000000e+00     +9.446275e+00
+5.122537e-04     +3.067480e-02     +5.000000e+00     +8.964988e+00
+8.315415e-04     +3.680722e-02     +5.000000e+00     +8.480127e+00
+1.349694e-03     +4.293826e-02     +5.000000e+00     +7.997116e+00
+2.190438e-03     +4.906767e-02     +5.000000e+00     +7.512450e+00
+3.554376e-03     +5.519524e-02     +5.000000e+00     +7.028998e+00
+5.766662e-03     +6.132074e-02     +5.000000e+00     +6.544716e+00
+9.354195e-03     +6.744392e-02     +5.000000e+00     +6.061355e+00
+1.517055e-02     +7.356456e-02     +5.000000e+00     +5.577543e+00
+2.459807e-02     +7.968244e-02     +5.000000e+00     +5.094508e+00
+3.987474e-02     +8.579731e-02     +5.000000e+00     +4.611249e+00
+6.462251e-02     +9.190896e-02     +5.000000e+00     +4.128768e+00
+1.047011e-01     +9.801714e-02     +5.000000e+00     +3.646371e+00
+1.695867e-01     +1.041216e-01     +5.000000e+00     +3.165229e+00
+2.745984e-01     +1.102222e-01     +5.000000e+00     +2.685528e+00
+4.444898e-01     +1.163186e-01     +5.000000e+00     +2.210408e+00
+7.192425e-01     +1.224107e-01     +5.000000e+00     +1.744989e+00
+1.163405e+00     +1.284981e-01     +5.000000e+00     +1.303075e+00
+1.881136e+00     +1.345807e-01     +5.000000e+00     +9.076383e-01
+3.040436e+00     +1.406582e-01     +5.000000e+00     +5.871856e-01
+4.912129e+00     +1.467305e-01     +5.000000e+00     +3.554384e-01
+7.932574e+00     +1.527972e-01     +5.000000e+00     +2.042582e-01
+1.280446e+01     +1.588581e-01     +5.000000e+00     +1.128688e-01
+2.065870e+01     +1.649131e-01     +5.000000e+00     +6.058851e-02
+3.331438e+01     +1.709619e-01     +5.000000e+00     +3.180961e-02
+5.369573e+01     +1.770042e-01     +5.000000e+00     +1.641597e-02
+8.650058e+01     +1.830399e-01     +5.000000e+00     +8.353900e-03
+1.392714e+02     +1.890687e-01     +5.000000e+00     +4.202815e-03
+2.241096e+02     +1.950903e-01     +5.000000e+00     +2.093750e-03
+3.604186e+02     +2.011046e-01     +5.000000e+00     +1.034411e-03
+5.792874e+02     +2.071114e-01     +5.000000e+00     +5.072963e-04
+9.304937e+02     +2.131103e-01     +5.000000e+00     +2.472083e-04
+1.493680e+03     +2.191012e-01     +5.000000e+00     +1.197771e-04
+2.396175e+03     +2.250839e-01     +5.000000e+00     +5.774407e-05
+3.841394e+03     +2.310581e-01     +5.000000e+00     +2.771167e-05
+6.154045e+03     +2.370236e-01     +5.000000e+00     +1.324587e-05
+9.852044e+03     +2.429802e-01     +5.000000e+00     +6.308274e-06
+1.576080e+04     +2.489276e-01     +5.000000e+00     +2.994643e-06
+2.519465e+04     +2.548657e-01     +5.000000e+00     +1.417429e-06
+4.024477e+04     +2.607941e-01     +5.000000e+00     +6.691703e-07
+6.423528e+04     +2.667128e-01     +5.000000e+00     +3.151706e-07
+1.024456e+05     +2.726214e-01     +5.000000e+00     +1.481359e-07
+1.632528e+05     +2.785197e-01     +5.000000e+00     +6.949582e-08
+2.599372e+05     +2.844075e-01     +5.000000e+00     +3.255018e-08
+4.135317e+05     +2.902847e-01     +5.000000e+00     +1.522334e-08
+6.573160e+05     +2.961509e-01     +5.000000e+00     +7.110923e-09
+1.043896e+06     +3.020059e-01     +5.000000e+00     +3.317859e-09
+1.656341e+06     +3.078496e-01     +5.000000e+00     +1.546648e-09
+2.625698e+06     +3.136817e-01     +5.000000e+00     +7.204034e-10
+4.158481e+06     +3.195020e-01     +5.000000e+00     +3.353412e-10
+6.579788e+06     +3.253103e-01     +5.000000e+00     +1.560156e-10
+1.040085e+07     +3.311063e-01     +5.000000e+00     +7.255842e-11
+1.642473e+07     +3.368899e-01     +5.000000e+00     +3.373531e-11
+2.591148e+07     +3.426607e-01     +5.000000e+00     +1.568270e-11
+4.083605e+07     +3.484187e-01     +5.000000e+00     +7.290062e-12
+6.429025e+07     +3.541635e-01     +5.000000e+00     +3.389006e-12
+1.011088e+08     +3.598950e-01     +5.000000e+00     +1.575709e-12
+1.588430e+08     +3.656130e-01     +5.000000e+00     +7.328153e-13
+2.492728e+08     +3.713172e-01     +5.000000e+00     +3.409235e-13
+3.907527e+08     +3.770074e-01     +5.000000e+00     +1.586762e-13
+6.118460e+08     +3.826834e-01     +5.000000e+00     +7.389006e-14
+9.569471e+08     +3.883450e-01     +5.000000e+00     +3.442902e-14
+1.494969e+09     +3.939920e-01     +5.000000e+00     +1.605288e-14
+2.332746e+09     +3.996242e-01     +5.000000e+00     +7.490543e-15
+3.635687e+09     +4.052413e-01     +5.000000e+00     +3.498075e-15
+5.659552e+09     +4.108432e-01     +5.000000e+00     +1.635084e-15
+8.799276e+09     +4.164296e-01     +5.000000e+00     +7.650129e-16
+1.366388e+10     +4.220003e-01     +5.000000e+00     +3.583047e-16
+2.119121e+10     +4.275551e-01     +5.000000e+00     +1.680013e-16
+3.282354e+10     +4.330938e-01     +5.000000e+00     +7.886503e-17
+5.077566e+10     +4.386162e-01     +5.000000e+00     +3.706708e-17
+7.844389e+10     +4.441221e-01     +5.000000e+00     +1.744449e-17
+1.210289e+11     +4.496113e-01     +5.000000e+00     +8.220787e-18
+1.864825e+11     +4.550836e-01     +5.000000e+00     +3.879592e-18
+2.869455e+11     +4.605387e-01     +5.000000e+00     +1.833558e-18
+4.409261e+11     +4.659765e-01     +5.000000e+00     +8.679012e-19
+6.765974e+11     +4.713967e-01     +5.000000e+00     +4.114629e-19
+1.036778e+12     +4.767992e-01     +5.000000e+00     +1.953915e-19
+1.586447e+12     +4.821838e-01     +5.000000e+00     +9.294206e-20
+2.424054e+12     +4.875502e-01     +5.000000e+00     +4.428730e-20
+3.698532e+12     +4.928982e-01     +5.000000e+00     +2.114087e-20
+5.634816e+12     +4.982277e-01     +5.000000e+00     +1.011047e-20
+8.572087e+12     +5.035384e-01     +5.000000e+00     +4.844399e-21
+1.302096e+13     +5.088301e-01     +5.000000e+00     +2.325711e-21
+1.974886e+13     +5.141027e-01     +5.000000e+00     +1.118754e-21
+2.990729e+13     +5.193560e-01     +5.000000e+00     +5.392645e-22
+4.522110e+13     +5.245897e-01     +5.000000e+00     +2.604791e-22
